RP/0/RP0/CPU0:EBD-BHA-MPL-LTE-PE-RTR-34-123# sh ip int br
Tue Jan 28 17:27:38.424 IST

Interface                      IP-Address      Status          Protocol Vrf-Name
Bundle-Ether1                  unassigned      Up              Up       default
Bundle-Ether2                  unassigned      Up              Up       default
Bundle-Ether4                  unassigned      Up              Up       default
Bundle-Ether5                  unassigned      Up              Up       default
Bundle-Ether6                  unassigned      Up              Up       default
Bundle-Ether51                 172.16.1.7      Up              Up       default
Bundle-Ether53                 172.16.12.74    Up              Up       default
Bundle-Ether54                 172.16.1.5      Up              Up       default
Bundle-Ether85                 unassigned      Down            Down     default
Bundle-Ether101                172.29.12.53    Up              Up       default
Bundle-Ether51.2               182.79.136.239  Up              Up       default
Bundle-Ether51.4               172.29.18.6     Up              Up       default
Bundle-Ether53.2               116.119.31.213  Up              Up       default
Bundle-Ether53.4               172.29.18.109   Up              Up       default
Bundle-Ether54.2               116.119.29.22   Up              Up       default
Bundle-Ether54.4               172.29.18.5     Up              Up       default
Bundle-Ether1.155              10.22.215.38    Up              Down     NASIK-LTE-DATA-M
Bundle-Ether1.156              10.22.199.38    Up              Down     NAGPUR-LTE-Signalling-Control-M
Bundle-Ether1.157              10.196.247.38   Up              Down     NAGPUR-LTE-OnM-Management-M
Bundle-Ether1.187              10.22.216.38    Shutdown        Down     NASIK-LTE-DATA-M
Bundle-Ether1.188              10.22.200.38    Shutdown        Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether1.189              10.196.248.38   Shutdown        Down     NASIK-LTE-OnM-Management-M
Bundle-Ether1.214              10.22.216.174   Up              Down     NASIK-LTE-DATA-M
Bundle-Ether1.215              10.22.200.174   Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether1.216              10.196.248.174  Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether1.235              10.22.216.230   Up              Down     NASIK-LTE-DATA-M
Bundle-Ether1.236              10.22.200.230   Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether1.237              10.196.248.230  Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether1.238              10.22.216.238   Up              Down     NASIK-LTE-DATA-M
Bundle-Ether1.239              10.22.200.238   Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether1.240              10.196.248.238  Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether1.331              100.83.153.14   Up              Down     NASIK-LTE-DATA-M
Bundle-Ether1.332              100.83.185.14   Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether1.333              100.67.153.14   Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether1.631              100.81.246.78   Up              Down     NASIK-LTE-DATA-M
Bundle-Ether1.632              100.82.22.78    Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether1.633              100.82.54.78    Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether1.697              100.81.251.206  Up              Down     NASIK-LTE-DATA-M
Bundle-Ether1.698              100.82.27.206   Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether1.699              100.82.59.206   Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether1.706              100.81.251.254  Up              Down     NASIK-LTE-DATA-M
Bundle-Ether1.707              100.82.27.254   Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether1.708              100.82.59.254   Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether1.760              100.83.131.110  Shutdown        Down     NASIK-LTE-DATA-M
Bundle-Ether1.761              100.83.163.110  Shutdown        Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether1.762              100.67.131.110  Shutdown        Down     NASIK-LTE-OnM-Management-M
Bundle-Ether1.806              10.88.112.126   Up              Down     NASIK-LTE-DATA-M
Bundle-Ether1.807              10.88.116.126   Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether1.808              10.88.120.126   Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether2.188              10.22.215.174   Up              Down     NASIK-LTE-DATA-M
Bundle-Ether2.189              10.22.199.174   Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether2.190              10.196.247.174  Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether2.196              10.22.216.78    Up              Down     NASIK-LTE-DATA-M
Bundle-Ether2.197              10.22.200.78    Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether2.198              10.196.248.78   Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether2.652              100.81.147.110  Up              Down     NASIK-LTE-DATA-M
Bundle-Ether2.653              100.81.179.110  Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether2.654              100.81.211.110  Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether2.680              100.82.25.174   Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether2.694              100.81.251.190  Up              Down     NASIK-LTE-DATA-M
Bundle-Ether2.695              100.82.27.190   Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether2.696              100.82.59.190   Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether2.730              100.81.250.142  Shutdown        Down     NASIK-LTE-DATA-M
Bundle-Ether2.731              100.82.26.142   Shutdown        Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether2.732              100.82.58.142   Shutdown        Down     NASIK-LTE-OnM-Management-M
Bundle-Ether2.738              10.39.133.94    Up              Down     NASIK-LTE-DATA-M
Bundle-Ether2.739              10.39.165.94    Up              Down     NAGPUR-LTE-Signalling-Control-M
Bundle-Ether2.740              10.39.149.94    Up              Down     NAGPUR-LTE-OnM-Management-M
Bundle-Ether2.772              100.83.132.158  Up              Down     NASIK-LTE-DATA-M
Bundle-Ether2.773              100.83.164.158  Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether2.774              100.67.132.158  Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether2.925              100.81.154.222  Up              Down     NASIK-LTE-DATA-M
Bundle-Ether2.926              100.81.186.222  Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether2.927              100.81.218.222  Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether2.937              100.81.251.30   Up              Down     NASIK-LTE-DATA-M
Bundle-Ether2.938              100.82.27.30    Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether2.939              100.82.59.30    Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether2.984              100.81.157.206  Up              Down     NASIK-LTE-DATA-M
Bundle-Ether2.985              100.81.189.206  Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether2.986              100.81.221.206  Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether4.802              10.61.116.235   Up              Down     MAH-GOA-GB
Bundle-Ether4.804              10.61.37.203    Up              Down     MAH-GOA-BICC-SIG
Bundle-Ether4.806              10.61.37.235    Up              Down     MAH-GOA-BICC-PAYLOAD
Bundle-Ether5.655              172.38.58.213   Up              Down     MARUTI-S2
Bundle-Ether5.801              172.38.200.133  Up              Down     INDIAN-OIL-CORPORATION-2-M
Bundle-Ether5.811              172.19.3.37     Up              Down     HINDUSTAN-LEVER-S2
Bundle-Ether1.1007             100.84.166.14   Up              Down     NASIK-LTE-DATA-M
Bundle-Ether1.1008             100.84.198.14   Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether1.1009             100.67.38.14    Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether1.1031             100.84.167.62   Up              Down     NASIK-LTE-DATA-M
Bundle-Ether1.1032             100.84.199.62   Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether1.1033             100.67.39.62    Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether1.1303             100.81.229.142  Up              Down     NAGPUR-LTE-Data-User-M
Bundle-Ether1.1304             100.82.5.142    Up              Down     NAGPUR-LTE-Signalling-Control-M
Bundle-Ether1.1305             100.82.37.142   Up              Down     NAGPUR-LTE-OnM-Management-M
Bundle-Ether1.1312             100.81.140.206  Up              Down     NAGPUR-LTE-Data-User-M
Bundle-Ether1.1313             100.81.172.206  Up              Down     NAGPUR-LTE-Signalling-Control-M
Bundle-Ether1.1314             100.81.204.206  Up              Down     NAGPUR-LTE-OnM-Management-M
Bundle-Ether1.1608             10.97.33.78     Up              Down     NASIK-LTE-DATA-M
