    Template Location,Accuray,No of Header,No of Records,Percentage_of_Record,Percentage_of_attribute,Comments
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_dir.template,100,8,53,1.8867924528,0.2358490566,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_running-config_partition_access-list.template,14.0329835082,23,145,0.6896551724,0.0299850075,Command Output as doesn't have all Values
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_running-config_partition_access-list.template,14.0329835082,23,145,0.6896551724,0.0299850075,Command Output as doesn't have all Values
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_class-map.template,16.6666666667,18,2,50,2.7777777778,Command Output as doesn't have all Values
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_class-map.template,16.6666666667,18,2,50,2.7777777778,Command Output as doesn't have all Values
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_class-map.template,16.6666666667,18,2,50,2.7777777778,Command Output as doesn't have all Values
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_class-map.template,16.6666666667,18,2,50,2.7777777778,Command Output as doesn't have all Values
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_running-config_partition_access-list.template,17.3913043478,23,1,100,4.347826087,Command Output as doesn't have all Values
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_running-config_partition_access-list.template,17.3913043478,23,1,100,4.347826087,Command Output as doesn't have all Values
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_access-list.template,42.8571428571,7,2,50,7.1428571429,Command Output as doesn't have all Values
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_access-list.template,42.8571428571,7,2,50,7.1428571429,Command Output as doesn't have all Values
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_ip_route.template,44.4444444444,9,12,8.3333333333,0.9259259259,TEXTFSM has extra HEADERES
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_ip_route.template,44.4444444444,9,3,33.3333333333,3.7037037037,TEXTFSM has extra HEADERES
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_ip_route.template,44.4444444444,9,12,8.3333333333,0.9259259259,TEXTFSM has extra HEADERES
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_ip_route.template,44.4444444444,9,3,33.3333333333,3.7037037037,TEXTFSM has extra HEADERES
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_route-map.template,50,2,1,100,50,Command Output as doesn't have all Values
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_tacacs.template,50,2,2,50,25,fixed
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_tacacs.template,50,2,2,50,25,fIxed
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_tacacs.template,50,2,2,50,25,fixed
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_route-map.template,50,2,1,100,50,Command Output as doesn't have all Values
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_tacacs.template,50,2,2,50,25,fixed
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_interfaces.template,55.2325581395,16,43,2.3255813953,0.1453488372,TEXTFSM has extra HEADERES
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_interfaces.textfsm,55.2325581395,16,43,2.3255813953,0.1453488372,TEXTFSM has extra HEADERES
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_interfaces.textfsm,55.2325581395,16,43,2.3255813953,0.1453488372,TEXTFSM has extra HEADERES
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_interfaces.template,55.2325581395,16,43,2.3255813953,0.1453488372,TEXTFSM has extra HEADERES
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_interfaces.template,56.8181818182,16,11,9.0909090909,0.5681818182,TEXTFSM has extra HEADERES
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_interfaces.textfsm,56.8181818182,16,11,9.0909090909,0.5681818182,TEXTFSM has extra HEADERES
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_interfaces.textfsm,56.8181818182,16,11,9.0909090909,0.5681818182,TEXTFSM has extra HEADERES
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_interfaces.template,56.8181818182,16,11,9.0909090909,0.5681818182,ss
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_access-list.template,56.9327731092,7,136,0.7352941176,0.1050420168,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_access-list.template,56.9327731092,7,136,0.7352941176,0.1050420168,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_platform_diag.template,58.1818181818,11,5,20,1.8181818182,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_platform_diag.template,58.1818181818,11,5,20,1.8181818182,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_platform_diag.template,63.6363636364,11,7,14.2857142857,1.2987012987,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_platform_diag.template,63.6363636364,11,7,14.2857142857,1.2987012987,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_ntp_status.template,64.2857142857,14,1,100,7.1428571429,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_ntp_status.template,64.2857142857,14,1,100,7.1428571429,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_license.template,75,8,4,25,3.125,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_license.template,75,8,4,25,3.125,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_interfaces_description.textfsm,77.2727272727,4,11,9.0909090909,2.2727272727,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_interfaces_description.textfsm,77.2727272727,4,11,9.0909090909,2.2727272727,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_ip_bgp.template,80,10,1,100,10,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_ip_bgp.template,80,10,1,100,10,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_license.template,81.25,8,4,25,3.125,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_license.template,81.25,8,4,25,3.125,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_license.template,81.25,8,4,25,3.125,
